OrderID,Date,CustomerID,Quantity,UnitPrice,ShippingAddress,TrackingNumber,ItemsInCart,CouponCode,TotalPrice,Has_Coupon,Order_Month,Is_Weekend,AvgPricePerCartItem,QuantityToCartRatio,Product_Desk,Product_Laptop,Product_Monitor,Product_Phone,Product_Printer,Product_Tablet,PaymentMethod_Credit Card,PaymentMethod_Debit Card,PaymentMethod_Gift Card,PaymentMethod_Online,OrderStatus_Delivered,OrderStatus_Pending,OrderStatus_Returned,OrderStatus_Shipped,ReferralSource_Facebook,ReferralSource_Google,ReferralSource_Instagram,ReferralSource_Referral
ORD200000,2023-01-04,C72649,5,570.62,928 Main St,TRK37947903,7,SAVE10,2853.1,1,1,0,407.5857142857143,0.7142857142857143,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False
ORD200001,2024-08-23,C75739,2,151.35,823 Main St,TRK91186779,3,SAVE10,302.7,1,8,0,100.89999999999999,0.6666666666666666,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,True
ORD200002,2024-02-27,C81728,5,550.68,512 Main St,TRK42903982,8,FREESHIP,2753.4,1,2,0,344.175,0.625,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False
ORD200003,2023-10-15,C33540,1,273.19,275 Main St,TRK62788070,5,SAVE10,273.19,1,10,1,54.638,0.2,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False
ORD200004,2025-05-08,C81840,4,626.01,668 Main St,TRK29241424,8,SAVE10,2504.04,1,5,0,313.005,0.5,False,False,False,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False
ORD200005,2023-10-23,C37249,2,245.86,934 Main St,TRK72976927,4,SAVE10,491.72,1,10,0,122.93,0.5,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,True,False
ORD200006,2025-06-17,C83492,1,664.42,986 Main St,TRK96417362,6,SAVE10,664.42,1,6,0,110.73666666666666,0.16666666666666666,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False
ORD200007,2023-05-12,C41460,5,149.55,706 Main St,TRK78809193,9,FREESHIP,747.75,1,5,0,83.08333333333333,0.5555555555555556,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False
ORD200008,2025-04-02,C26817,2,134.28,904 Main St,TRK61042692,2,NO_COUPON,268.56,0,4,0,134.28,1.0,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False
ORD200009,2023-11-21,C31946,4,509.38,102 Main St,TRK33478363,6,SAVE10,2037.52,1,11,0,339.58666666666664,0.6666666666666666,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False
ORD200010,2023-12-29,C43443,5,625.97,333 Main St,TRK98859248,9,WINTER15,3129.85,1,12,0,347.7611111111111,0.5555555555555556,False,False,False,False,False,True,True,False,False,False,False,False,True,False,False,False,True,False
ORD200011,2024-02-17,C93861,3,49.14,831 Main St,TRK48234646,7,SAVE10,147.42,1,2,1,21.06,0.42857142857142855,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False
ORD200012,2024-10-15,C38785,2,180.5,179 Main St,TRK20419991,6,FREESHIP,361.0,1,10,0,60.166666666666664,0.3333333333333333,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True
ORD200013,2023-08-30,C88348,3,201.49,903 Main St,TRK81913874,4,FREESHIP,604.47,1,8,0,151.1175,0.75,False,True,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False
ORD200014,2023-03-27,C98474,2,393.33,980 Main St,TRK79186539,3,SAVE10,786.66,1,3,0,262.21999999999997,0.6666666666666666,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,True,False
ORD200015,2023-07-17,C39416,1,473.96,942 Main St,TRK54930938,3,NO_COUPON,473.96,0,7,0,157.98666666666665,0.3333333333333333,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False
ORD200016,2023-01-24,C28976,2,533.81,914 Main St,TRK13194259,3,FREESHIP,1067.62,1,1,0,355.8733333333333,0.6666666666666666,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False
ORD200017,2024-03-02,C60672,1,423.4,382 Main St,TRK11972116,3,NO_COUPON,423.4,0,3,1,141.13333333333333,0.3333333333333333,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,True
ORD200018,2025-03-26,C84329,1,431.44,891 Main St,TRK65191045,3,SAVE10,431.44,1,3,0,143.81333333333333,0.3333333333333333,True,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False
